"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1999","1999","< 1 year","0","Female","F",12291,1852123,663.617
,"1999","1999","< 1 year","0","Male","M",15646,1943639,804.985
"Total","1999","1999","< 1 year","0",,,27937,3795762,736.005
,"1999","1999","1 year","1","Female","F",886,1849170,47.913
,"1999","1999","1 year","1","Male","M",1103,1935918,56.976
"Total","1999","1999","1 year","1",,,1989,3785088,52.548
,"1999","1999","2 years","2","Female","F",579,1849556,31.305
,"1999","1999","2 years","2","Male","M",797,1933079,41.230
"Total","1999","1999","2 years","2",,,1376,3782635,36.377
,"1999","1999","3 years","3","Female","F",445,1868553,23.815
,"1999","1999","3 years","3","Male","M",601,1956253,30.722
"Total","1999","1999","3 years","3",,,1046,3824806,27.348
,"1999","1999","4 years","4","Female","F",364,1926335,18.896
,"1999","1999","4 years","4","Male","M",474,2020918,23.455
"Total","1999","1999","4 years","4",,,838,3947253,21.230
,"1999","1999","5 years","5","Female","F",317,1950892,16.249
,"1999","1999","5 years","5","Male","M",446,2048870,21.768
"Total","1999","1999","5 years","5",,,763,3999762,19.076
,"1999","1999","6 years","6","Female","F",312,1970698,15.832
,"1999","1999","6 years","6","Male","M",384,2071922,18.534
"Total","1999","1999","6 years","6",,,696,4042620,17.217
,"1999","1999","7 years","7","Female","F",297,2034495,14.598
,"1999","1999","7 years","7","Male","M",386,2128808,18.132
"Total","1999","1999","7 years","7",,,683,4163303,16.405
,"1999","1999","8 years","8","Female","F",303,2034953,14.890
,"1999","1999","8 years","8","Male","M",389,2135753,18.214
"Total","1999","1999","8 years","8",,,692,4170706,16.592
,"1999","1999","9 years","9","Female","F",281,2061580,13.630
,"1999","1999","9 years","9","Male","M",359,2168489,16.555
"Total","1999","1999","9 years","9",,,640,4230069,15.130
,"1999","1999","10 years","10","Female","F",293,2021562,14.494
,"1999","1999","10 years","10","Male","M",394,2127091,18.523
"Total","1999","1999","10 years","10",,,687,4148653,16.560
,"1999","1999","11 years","11","Female","F",296,1969839,15.027
,"1999","1999","11 years","11","Male","M",415,2066343,20.084
"Total","1999","1999","11 years","11",,,711,4036182,17.616
,"1999","1999","12 years","12","Female","F",303,1956197,15.489
,"1999","1999","12 years","12","Male","M",414,2053713,20.159
"Total","1999","1999","12 years","12",,,717,4009910,17.881
,"1999","1999","13 years","13","Female","F",296,1952202,15.162
,"1999","1999","13 years","13","Male","M",551,2051405,26.860
"Total","1999","1999","13 years","13",,,847,4003607,21.156
,"1999","1999","14 years","14","Female","F",405,1955864,20.707
,"1999","1999","14 years","14","Male","M",754,2059148,36.617
"Total","1999","1999","14 years","14",,,1159,4015012,28.867
,"1999","1999","15 years","15","Female","F",512,1913334,26.760
,"1999","1999","15 years","15","Male","M",997,2025818,49.215
"Total","1999","1999","15 years","15",,,1509,3939152,38.308
,"1999","1999","16 years","16","Female","F",784,1948049,40.245
,"1999","1999","16 years","16","Male","M",1570,2072256,75.763
"Total","1999","1999","16 years","16",,,2354,4020305,58.553
,"1999","1999","17 years","17","Female","F",892,1947136,45.811
,"1999","1999","17 years","17","Male","M",2012,2084088,96.541
"Total","1999","1999","17 years","17",,,2904,4031224,72.038
,"1999","1999","18 years","18","Female","F",904,1942583,46.536
,"1999","1999","18 years","18","Male","M",2500,2047260,122.114
"Total","1999","1999","18 years","18",,,3404,3989843,85.317
,"1999","1999","19 years","19","Female","F",906,2010467,45.064
,"1999","1999","19 years","19","Male","M",2701,2093611,129.012
"Total","1999","1999","19 years","19",,,3607,4104078,87.888
,"1999","1999","20 years","20","Female","F",885,1915294,46.207
,"1999","1999","20 years","20","Male","M",2616,2010201,130.136
"Total","1999","1999","20 years","20",,,3501,3925495,89.186
,"1999","1999","21 years","21","Female","F",860,1838440,46.779
,"1999","1999","21 years","21","Male","M",2678,1924961,139.120
"Total","1999","1999","21 years","21",,,3538,3763401,94.011
,"1999","1999","22 years","22","Female","F",832,1807150,46.039
,"1999","1999","22 years","22","Male","M",2541,1887040,134.655
"Total","1999","1999","22 years","22",,,3373,3694190,91.306
,"1999","1999","23 years","23","Female","F",827,1744637,47.402
,"1999","1999","23 years","23","Male","M",2461,1817832,135.381
"Total","1999","1999","23 years","23",,,3288,3562469,92.296
,"1999","1999","24 years","24","Female","F",840,1793094,46.846
,"1999","1999","24 years","24","Male","M",2338,1852780,126.189
"Total","1999","1999","24 years","24",,,3178,3645874,87.167
,"1999","1999","25 years","25","Female","F",884,1800091,49.109
,"1999","1999","25 years","25","Male","M",2253,1857316,121.304
"Total","1999","1999","25 years","25",,,3137,3657407,85.771
,"1999","1999","26 years","26","Female","F",909,1814511,50.096
,"1999","1999","26 years","26","Male","M",2368,1851717,127.881
"Total","1999","1999","26 years","26",,,3277,3666228,89.383
,"1999","1999","27 years","27","Female","F",1037,1949822,53.184
,"1999","1999","27 years","27","Male","M",2512,1985242,126.534
"Total","1999","1999","27 years","27",,,3549,3935064,90.189
,"1999","1999","28 years","28","Female","F",1120,2060374,54.359
,"1999","1999","28 years","28","Male","M",2642,2086110,126.647
"Total","1999","1999","28 years","28",,,3762,4146484,90.727
,"1999","1999","29 years","29","Female","F",1211,2071169,58.469
,"1999","1999","29 years","29","Male","M",2767,2098705,131.843
"Total","1999","1999","29 years","29",,,3978,4169874,95.399
,"1999","1999","30 years","30","Female","F",1295,2064871,62.716
,"1999","1999","30 years","30","Male","M",2710,2116341,128.051
"Total","1999","1999","30 years","30",,,4005,4181212,95.786
,"1999","1999","31 years","31","Female","F",1356,1957054,69.288
,"1999","1999","31 years","31","Male","M",2828,1979133,142.891
"Total","1999","1999","31 years","31",,,4184,3936187,106.296
,"1999","1999","32 years","32","Female","F",1486,2014551,73.763
,"1999","1999","32 years","32","Male","M",3113,2029406,153.395
"Total","1999","1999","32 years","32",,,4599,4043957,113.725
,"1999","1999","33 years","33","Female","F",1634,2036474,80.237
,"1999","1999","33 years","33","Male","M",3331,2043243,163.025
"Total","1999","1999","33 years","33",,,4965,4079717,121.700
,"1999","1999","34 years","34","Female","F",1858,2176173,85.379
,"1999","1999","34 years","34","Male","M",3752,2186103,171.630
"Total","1999","1999","34 years","34",,,5610,4362276,128.603
,"1999","1999","35 years","35","Female","F",2110,2293916,91.982
,"1999","1999","35 years","35","Male","M",4165,2311702,180.170
"Total","1999","1999","35 years","35",,,6275,4605618,136.247
,"1999","1999","36 years","36","Female","F",2379,2281275,104.284
,"1999","1999","36 years","36","Male","M",4288,2262286,189.543
"Total","1999","1999","36 years","36",,,6667,4543561,146.735
,"1999","1999","37 years","37","Female","F",2592,2298941,112.748
,"1999","1999","37 years","37","Male","M",4714,2283851,206.406
"Total","1999","1999","37 years","37",,,7306,4582792,159.422
,"1999","1999","38 years","38","Female","F",2928,2276449,128.621
,"1999","1999","38 years","38","Male","M",5113,2253560,226.885
"Total","1999","1999","38 years","38",,,8041,4530009,177.505
,"1999","1999","39 years","39","Female","F",3114,2323573,134.018
,"1999","1999","39 years","39","Male","M",5401,2296996,235.133
"Total","1999","1999","39 years","39",,,8515,4620569,184.285
,"1999","1999","40 years","40","Female","F",3256,2341168,139.076
,"1999","1999","40 years","40","Male","M",5780,2326357,248.457
"Total","1999","1999","40 years","40",,,9036,4667525,193.593
,"1999","1999","41 years","41","Female","F",3537,2250723,157.150
,"1999","1999","41 years","41","Male","M",6270,2211175,283.560
"Total","1999","1999","41 years","41",,,9807,4461898,219.794
,"1999","1999","42 years","42","Female","F",3827,2271051,168.512
,"1999","1999","42 years","42","Male","M",6646,2235880,297.243
"Total","1999","1999","42 years","42",,,10473,4506931,232.375
,"1999","1999","43 years","43","Female","F",4029,2179527,184.857
,"1999","1999","43 years","43","Male","M",7183,2118325,339.089
"Total","1999","1999","43 years","43",,,11212,4297852,260.875
,"1999","1999","44 years","44","Female","F",4366,2152981,202.789
,"1999","1999","44 years","44","Male","M",7558,2106941,358.719
"Total","1999","1999","44 years","44",,,11924,4259922,279.911
,"1999","1999","45 years","45","Female","F",4568,2146028,212.858
,"1999","1999","45 years","45","Male","M",7839,2099854,373.312
"Total","1999","1999","45 years","45",,,12407,4245882,292.213
,"1999","1999","46 years","46","Female","F",4714,2031823,232.008
,"1999","1999","46 years","46","Male","M",8392,1963127,427.481
"Total","1999","1999","46 years","46",,,13106,3994950,328.064
,"1999","1999","47 years","47","Female","F",4905,2002180,244.983
,"1999","1999","47 years","47","Male","M",8645,1934967,446.778
"Total","1999","1999","47 years","47",,,13550,3937147,344.158
,"1999","1999","48 years","48","Female","F",5109,1889850,270.339
,"1999","1999","48 years","48","Male","M",8930,1820806,490.442
"Total","1999","1999","48 years","48",,,14039,3710656,378.343
,"1999","1999","49 years","49","Female","F",5521,1917853,287.874
,"1999","1999","49 years","49","Male","M",9497,1847719,513.985
"Total","1999","1999","49 years","49",,,15018,3765572,398.824
,"1999","1999","50 years","50","Female","F",5858,1915145,305.878
,"1999","1999","50 years","50","Male","M",9775,1847555,529.078
"Total","1999","1999","50 years","50",,,15633,3762700,415.473
,"1999","1999","51 years","51","Female","F",6400,1839362,347.947
,"1999","1999","51 years","51","Male","M",10470,1762492,594.045
"Total","1999","1999","51 years","51",,,16870,3601854,468.370
,"1999","1999","52 years","52","Female","F",7177,1972464,363.860
,"1999","1999","52 years","52","Male","M",11509,1900702,605.513
"Total","1999","1999","52 years","52",,,18686,3873166,482.448
,"1999","1999","53 years","53","Female","F",6313,1430150,441.422
,"1999","1999","53 years","53","Male","M",9885,1355175,729.426
"Total","1999","1999","53 years","53",,,16198,2785325,581.548
,"1999","1999","54 years","54","Female","F",6750,1487450,453.797
,"1999","1999","54 years","54","Male","M",10717,1413117,758.394
"Total","1999","1999","54 years","54",,,17467,2900567,602.193
,"1999","1999","55 years","55","Female","F",7423,1468560,505.461
,"1999","1999","55 years","55","Male","M",11728,1390616,843.367
"Total","1999","1999","55 years","55",,,19151,2859176,669.808
,"1999","1999","56 years","56","Female","F",8416,1510736,557.079
,"1999","1999","56 years","56","Male","M",12919,1423773,907.378
"Total","1999","1999","56 years","56",,,21335,2934509,727.038
,"1999","1999","57 years","57","Female","F",8132,1327155,612.739
,"1999","1999","57 years","57","Male","M",12509,1234061,1013.645
"Total","1999","1999","57 years","57",,,20641,2561216,805.906
,"1999","1999","58 years","58","Female","F",8463,1252109,675.900
,"1999","1999","58 years","58","Male","M",12865,1160403,1108.667
"Total","1999","1999","58 years","58",,,21328,2412512,884.058
,"1999","1999","59 years","59","Female","F",9009,1206474,746.721
,"1999","1999","59 years","59","Male","M",13420,1110934,1207.993
"Total","1999","1999","59 years","59",,,22429,2317408,967.849
,"1999","1999","60 years","60","Female","F",9504,1205799,788.191
,"1999","1999","60 years","60","Male","M",14016,1107631,1265.403
"Total","1999","1999","60 years","60",,,23520,2313430,1016.672
,"1999","1999","61 years","61","Female","F",10206,1138272,896.622
,"1999","1999","61 years","61","Male","M",14881,1040279,1430.482
"Total","1999","1999","61 years","61",,,25087,2178551,1151.545
,"1999","1999","62 years","62","Female","F",10734,1089367,985.343
,"1999","1999","62 years","62","Male","M",15506,986960,1571.087
"Total","1999","1999","62 years","62",,,26240,2076327,1263.770
,"1999","1999","63 years","63","Female","F",11590,1083500,1069.682
,"1999","1999","63 years","63","Male","M",16626,971465,1711.436
"Total","1999","1999","63 years","63",,,28216,2054965,1373.065
,"1999","1999","64 years","64","Female","F",12778,1096791,1165.035
,"1999","1999","64 years","64","Male","M",18254,973141,1875.782
"Total","1999","1999","64 years","64",,,31032,2069932,1499.180
,"1999","1999","65 years","65","Female","F",13404,1018034,1316.655
,"1999","1999","65 years","65","Male","M",18538,895420,2070.313
"Total","1999","1999","65 years","65",,,31942,1913454,1669.337
,"1999","1999","66 years","66","Female","F",14491,1018914,1422.200
,"1999","1999","66 years","66","Male","M",19743,877447,2250.050
"Total","1999","1999","66 years","66",,,34234,1896361,1805.247
,"1999","1999","67 years","67","Female","F",15509,1035759,1497.356
,"1999","1999","67 years","67","Male","M",21115,880924,2396.915
"Total","1999","1999","67 years","67",,,36624,1916683,1910.801
,"1999","1999","68 years","68","Female","F",16988,1038635,1635.608
,"1999","1999","68 years","68","Male","M",23073,879176,2624.389
"Total","1999","1999","68 years","68",,,40061,1917811,2088.892
,"1999","1999","69 years","69","Female","F",18774,1030646,1821.576
,"1999","1999","69 years","69","Male","M",25060,866543,2891.951
"Total","1999","1999","69 years","69",,,43834,1897189,2310.471
,"1999","1999","70 years","70","Female","F",19954,1036615,1924.919
,"1999","1999","70 years","70","Male","M",25849,835920,3092.282
"Total","1999","1999","70 years","70",,,45803,1872535,2446.042
,"1999","1999","71 years","71","Female","F",21793,1013700,2149.847
,"1999","1999","71 years","71","Male","M",28204,817115,3451.656
"Total","1999","1999","71 years","71",,,49997,1830815,2730.860
,"1999","1999","72 years","72","Female","F",23669,984670,2403.749
,"1999","1999","72 years","72","Male","M",29893,766712,3898.856
"Total","1999","1999","72 years","72",,,53562,1751382,3058.271
,"1999","1999","73 years","73","Female","F",25383,969353,2618.551
,"1999","1999","73 years","73","Male","M",31073,745037,4170.665
"Total","1999","1999","73 years","73",,,56456,1714390,3293.066
,"1999","1999","74 years","74","Female","F",27715,979098,2830.667
,"1999","1999","74 years","74","Male","M",32372,729191,4439.440
"Total","1999","1999","74 years","74",,,60087,1708289,3517.379
,"1999","1999","75 years","75","Female","F",29240,947146,3087.169
,"1999","1999","75 years","75","Male","M",33584,690588,4863.102
"Total","1999","1999","75 years","75",,,62824,1637734,3836.032
,"1999","1999","76 years","76","Female","F",30499,899769,3389.648
,"1999","1999","76 years","76","Male","M",33944,639518,5307.747
"Total","1999","1999","76 years","76",,,64443,1539287,4186.549
,"1999","1999","77 years","77","Female","F",32953,882594,3733.653
,"1999","1999","77 years","77","Male","M",35701,616768,5788.400
"Total","1999","1999","77 years","77",,,68654,1499362,4578.881
,"1999","1999","78 years","78","Female","F",34756,837925,4147.865
,"1999","1999","78 years","78","Male","M",36020,569315,6326.902
"Total","1999","1999","78 years","78",,,70776,1407240,5029.419
,"1999","1999","79 years","79","Female","F",36048,763787,4719.640
,"1999","1999","79 years","79","Male","M",35604,495196,7189.880
"Total","1999","1999","79 years","79",,,71652,1258983,5691.260
,"1999","1999","80 years","80","Female","F",36414,729846,4989.272
,"1999","1999","80 years","80","Male","M",33930,459536,7383.535
"Total","1999","1999","80 years","80",,,70344,1189382,5914.332
,"1999","1999","81 years","81","Female","F",37609,653248,5757.232
,"1999","1999","81 years","81","Male","M",34429,394017,8737.948
"Total","1999","1999","81 years","81",,,72038,1047265,6878.679
,"1999","1999","82 years","82","Female","F",38957,610394,6382.271
,"1999","1999","82 years","82","Male","M",33404,361782,9233.185
"Total","1999","1999","82 years","82",,,72361,972176,7443.200
,"1999","1999","83 years","83","Female","F",39836,563499,7069.400
,"1999","1999","83 years","83","Male","M",32623,311593,10469.747
"Total","1999","1999","83 years","83",,,72459,875092,8280.158
,"1999","1999","84 years","84","Female","F",41308,522990,7898.430
,"1999","1999","84 years","84","Male","M",31731,275403,11521.661
"Total","1999","1999","84 years","84",,,73039,798393,9148.252
,"1999","1999","85 years","85","Female","F",41775,Not Applicable,Not Applicable
,"1999","1999","85 years","85","Male","M",30524,Not Applicable,Not Applicable
"Total","1999","1999","85 years","85",,,72299,Not Applicable,Not Applicable
,"1999","1999","86 years","86","Female","F",42335,Not Applicable,Not Applicable
,"1999","1999","86 years","86","Male","M",27775,Not Applicable,Not Applicable
"Total","1999","1999","86 years","86",,,70110,Not Applicable,Not Applicable
,"1999","1999","87 years","87","Female","F",40980,Not Applicable,Not Applicable
,"1999","1999","87 years","87","Male","M",25418,Not Applicable,Not Applicable
"Total","1999","1999","87 years","87",,,66398,Not Applicable,Not Applicable
,"1999","1999","88 years","88","Female","F",40513,Not Applicable,Not Applicable
,"1999","1999","88 years","88","Male","M",22655,Not Applicable,Not Applicable
"Total","1999","1999","88 years","88",,,63168,Not Applicable,Not Applicable
,"1999","1999","89 years","89","Female","F",38769,Not Applicable,Not Applicable
,"1999","1999","89 years","89","Male","M",20159,Not Applicable,Not Applicable
"Total","1999","1999","89 years","89",,,58928,Not Applicable,Not Applicable
,"1999","1999","90 years","90","Female","F",36153,Not Applicable,Not Applicable
,"1999","1999","90 years","90","Male","M",17257,Not Applicable,Not Applicable
"Total","1999","1999","90 years","90",,,53410,Not Applicable,Not Applicable
,"1999","1999","91 years","91","Female","F",34640,Not Applicable,Not Applicable
,"1999","1999","91 years","91","Male","M",15012,Not Applicable,Not Applicable
"Total","1999","1999","91 years","91",,,49652,Not Applicable,Not Applicable
,"1999","1999","92 years","92","Female","F",30736,Not Applicable,Not Applicable
,"1999","1999","92 years","92","Male","M",12385,Not Applicable,Not Applicable
"Total","1999","1999","92 years","92",,,43121,Not Applicable,Not Applicable
,"1999","1999","93 years","93","Female","F",26466,Not Applicable,Not Applicable
,"1999","1999","93 years","93","Male","M",9988,Not Applicable,Not Applicable
"Total","1999","1999","93 years","93",,,36454,Not Applicable,Not Applicable
,"1999","1999","94 years","94","Female","F",23485,Not Applicable,Not Applicable
,"1999","1999","94 years","94","Male","M",7869,Not Applicable,Not Applicable
"Total","1999","1999","94 years","94",,,31354,Not Applicable,Not Applicable
,"1999","1999","95 years","95","Female","F",19632,Not Applicable,Not Applicable
,"1999","1999","95 years","95","Male","M",6219,Not Applicable,Not Applicable
"Total","1999","1999","95 years","95",,,25851,Not Applicable,Not Applicable
,"1999","1999","96 years","96","Female","F",16099,Not Applicable,Not Applicable
,"1999","1999","96 years","96","Male","M",4639,Not Applicable,Not Applicable
"Total","1999","1999","96 years","96",,,20738,Not Applicable,Not Applicable
,"1999","1999","97 years","97","Female","F",12540,Not Applicable,Not Applicable
,"1999","1999","97 years","97","Male","M",3281,Not Applicable,Not Applicable
"Total","1999","1999","97 years","97",,,15821,Not Applicable,Not Applicable
,"1999","1999","98 years","98","Female","F",9823,Not Applicable,Not Applicable
,"1999","1999","98 years","98","Male","M",2270,Not Applicable,Not Applicable
"Total","1999","1999","98 years","98",,,12093,Not Applicable,Not Applicable
,"1999","1999","99 years","99","Female","F",7129,Not Applicable,Not Applicable
,"1999","1999","99 years","99","Male","M",1702,Not Applicable,Not Applicable
"Total","1999","1999","99 years","99",,,8831,Not Applicable,Not Applicable
,"1999","1999","100+ years","100","Female","F",15077,Not Applicable,Not Applicable
,"1999","1999","100+ years","100","Male","M",2836,Not Applicable,Not Applicable
"Total","1999","1999","100+ years","100",,,17913,Not Applicable,Not Applicable
,"1999","1999","Not Stated","NS","Female","F",79,Not Applicable,Not Applicable
,"1999","1999","Not Stated","NS","Male","M",277,Not Applicable,Not Applicable
"Total","1999","1999","Not Stated","NS",,,356,Not Applicable,Not Applicable
"Total","1999","1999",,,,,2391399,279040168,857.009
,"2000","2000","< 1 year","0","Female","F",12317,1856631,663.406
,"2000","2000","< 1 year","0","Male","M",15718,1949017,806.458
"Total","2000","2000","< 1 year","0",,,28035,3805648,736.668
,"2000","2000","1 year","1","Female","F",856,1867477,45.837
,"2000","2000","1 year","1","Male","M",1090,1953105,55.809
"Total","2000","2000","1 year","1",,,1946,3820582,50.935
,"2000","2000","2 years","2","Female","F",571,1851456,30.841
,"2000","2000","2 years","2","Male","M",746,1938990,38.474
"Total","2000","2000","2 years","2",,,1317,3790446,34.745
,"2000","2000","3 years","3","Female","F",374,1873836,19.959
,"2000","2000","3 years","3","Male","M",558,1958963,28.484
"Total","2000","2000","3 years","3",,,932,3832799,24.316
,"2000","2000","4 years","4","Female","F",354,1915665,18.479
,"2000","2000","4 years","4","Male","M",430,2010658,21.386
"Total","2000","2000","4 years","4",,,784,3926323,19.968
,"2000","2000","5 years","5","Female","F",314,1934031,16.236
,"2000","2000","5 years","5","Male","M",430,2031072,21.171
"Total","2000","2000","5 years","5",,,744,3965103,18.764
,"2000","2000","6 years","6","Female","F",273,1961488,13.918
,"2000","2000","6 years","6","Male","M",380,2058217,18.463
"Total","2000","2000","6 years","6",,,653,4019705,16.245
,"2000","2000","7 years","7","Female","F",295,2008279,14.689
,"2000","2000","7 years","7","Male","M",347,2109868,16.447
"Total","2000","2000","7 years","7",,,642,4118147,15.590
,"2000","2000","8 years","8","Female","F",260,2041401,12.736
,"2000","2000","8 years","8","Male","M",349,2137829,16.325
"Total","2000","2000","8 years","8",,,609,4179230,14.572
,"2000","2000","9 years","9","Female","F",261,2081029,12.542
,"2000","2000","9 years","9","Male","M",344,2186291,15.734
"Total","2000","2000","9 years","9",,,605,4267320,14.178
,"2000","2000","10 years","10","Female","F",254,2082812,12.195
,"2000","2000","10 years","10","Male","M",390,2191244,17.798
"Total","2000","2000","10 years","10",,,644,4274056,15.068
,"2000","2000","11 years","11","Female","F",301,2006936,14.998
,"2000","2000","11 years","11","Male","M",441,2108157,20.919
"Total","2000","2000","11 years","11",,,742,4115093,18.031
,"2000","2000","12 years","12","Female","F",279,1988614,14.030
,"2000","2000","12 years","12","Male","M",462,2087228,22.135
"Total","2000","2000","12 years","12",,,741,4075842,18.180
,"2000","2000","13 years","13","Female","F",339,1956842,17.324
,"2000","2000","13 years","13","Male","M",533,2054008,25.949
"Total","2000","2000","13 years","13",,,872,4010850,21.741
,"2000","2000","14 years","14","Female","F",436,1972671,22.102
,"2000","2000","14 years","14","Male","M",725,2079560,34.863
"Total","2000","2000","14 years","14",,,1161,4052231,28.651
,"2000","2000","15 years","15","Female","F",540,1954277,27.632
,"2000","2000","15 years","15","Male","M",1019,2065127,49.343
"Total","2000","2000","15 years","15",,,1559,4019404,38.787
,"2000","2000","16 years","16","Female","F",716,1926439,37.167
,"2000","2000","16 years","16","Male","M",1493,2048582,72.880
"Total","2000","2000","16 years","16",,,2209,3975021,55.572
,"2000","2000","17 years","17","Female","F",784,1954732,40.108
,"2000","2000","17 years","17","Male","M",1952,2091280,93.340
"Total","2000","2000","17 years","17",,,2736,4046012,67.622
,"2000","2000","18 years","18","Female","F",927,1972745,46.990
,"2000","2000","18 years","18","Male","M",2440,2078853,117.372
"Total","2000","2000","18 years","18",,,3367,4051598,83.103
,"2000","2000","19 years","19","Female","F",899,2020693,44.490
,"2000","2000","19 years","19","Male","M",2793,2107162,132.548
"Total","2000","2000","19 years","19",,,3692,4127855,89.441
,"2000","2000","20 years","20","Female","F",911,1978228,46.051
,"2000","2000","20 years","20","Male","M",2812,2071220,135.765
"Total","2000","2000","20 years","20",,,3723,4049448,91.938
,"2000","2000","21 years","21","Female","F",924,1875409,49.269
,"2000","2000","21 years","21","Male","M",2855,1965673,145.243
"Total","2000","2000","21 years","21",,,3779,3841082,98.384
,"2000","2000","22 years","22","Female","F",863,1837099,46.976
,"2000","2000","22 years","22","Male","M",2649,1921549,137.858
"Total","2000","2000","22 years","22",,,3512,3758648,93.438
,"2000","2000","23 years","23","Female","F",850,1798182,47.270
,"2000","2000","23 years","23","Male","M",2546,1875400,135.758
"Total","2000","2000","23 years","23",,,3396,3673582,92.444
,"2000","2000","24 years","24","Female","F",822,1787269,45.992
,"2000","2000","24 years","24","Male","M",2512,1853972,135.493
"Total","2000","2000","24 years","24",,,3334,3641241,91.562
,"2000","2000","25 years","25","Female","F",894,1838640,48.623
,"2000","2000","25 years","25","Male","M",2405,1905899,126.187
"Total","2000","2000","25 years","25",,,3299,3744539,88.102
,"2000","2000","26 years","26","Female","F",900,1787277,50.356
,"2000","2000","26 years","26","Male","M",2349,1832383,128.194
"Total","2000","2000","26 years","26",,,3249,3619660,89.760
,"2000","2000","27 years","27","Female","F",999,1874853,53.284
,"2000","2000","27 years","27","Male","M",2483,1914947,129.664
"Total","2000","2000","27 years","27",,,3482,3789800,91.878
,"2000","2000","28 years","28","Female","F",1068,1974005,54.103
,"2000","2000","28 years","28","Male","M",2561,2010807,127.362
"Total","2000","2000","28 years","28",,,3629,3984812,91.071
,"2000","2000","29 years","29","Female","F",1201,2107801,56.979
,"2000","2000","29 years","29","Male","M",2821,2134724,132.148
"Total","2000","2000","29 years","29",,,4022,4242525,94.802
,"2000","2000","30 years","30","Female","F",1260,2115732,59.554
,"2000","2000","30 years","30","Male","M",2765,2174238,127.171
"Total","2000","2000","30 years","30",,,4025,4289970,93.823
,"2000","2000","31 years","31","Female","F",1366,1991793,68.581
,"2000","2000","31 years","31","Male","M",2889,2019782,143.035
"Total","2000","2000","31 years","31",,,4255,4011575,106.068
,"2000","2000","32 years","32","Female","F",1464,1985244,73.744
,"2000","2000","32 years","32","Male","M",2918,2008877,145.255
"Total","2000","2000","32 years","32",,,4382,3994121,109.711
,"2000","2000","33 years","33","Female","F",1620,2008556,80.655
,"2000","2000","33 years","33","Male","M",3166,2018017,156.887
"Total","2000","2000","33 years","33",,,4786,4026573,118.860
,"2000","2000","34 years","34","Female","F",1789,2087294,85.709
,"2000","2000","34 years","34","Male","M",3533,2100855,168.170
"Total","2000","2000","34 years","34",,,5322,4188149,127.073
,"2000","2000","35 years","35","Female","F",2030,2250497,90.202
,"2000","2000","35 years","35","Male","M",3861,2265621,170.417
"Total","2000","2000","35 years","35",,,5891,4516118,130.444
,"2000","2000","36 years","36","Female","F",2291,2263639,101.209
,"2000","2000","36 years","36","Male","M",4275,2247529,190.209
"Total","2000","2000","36 years","36",,,6566,4511168,145.550
,"2000","2000","37 years","37","Female","F",2611,2266938,115.177
,"2000","2000","37 years","37","Male","M",4624,2250122,205.500
"Total","2000","2000","37 years","37",,,7235,4517060,160.171
,"2000","2000","38 years","38","Female","F",2802,2285731,122.587
,"2000","2000","38 years","38","Male","M",5099,2268083,224.815
"Total","2000","2000","38 years","38",,,7901,4553814,173.503
,"2000","2000","39 years","39","Female","F",3154,2321163,135.880
,"2000","2000","39 years","39","Male","M",5393,2287341,235.776
"Total","2000","2000","39 years","39",,,8547,4608504,185.461
,"2000","2000","40 years","40","Female","F",3402,2358828,144.224
,"2000","2000","40 years","40","Male","M",6003,2352606,255.164
"Total","2000","2000","40 years","40",,,9405,4711434,199.621
,"2000","2000","41 years","41","Female","F",3681,2253642,163.336
,"2000","2000","41 years","41","Male","M",6292,2213034,284.316
"Total","2000","2000","41 years","41",,,9973,4466676,223.276
,"2000","2000","42 years","42","Female","F",3869,2290677,168.902
,"2000","2000","42 years","42","Male","M",6731,2256543,298.288
"Total","2000","2000","42 years","42",,,10600,4547220,233.109
,"2000","2000","43 years","43","Female","F",4290,2229419,192.427
,"2000","2000","43 years","43","Male","M",7339,2178451,336.891
"Total","2000","2000","43 years","43",,,11629,4407870,263.824
,"2000","2000","44 years","44","Female","F",4371,2180195,200.487
,"2000","2000","44 years","44","Male","M",7680,2128468,360.823
"Total","2000","2000","44 years","44",,,12051,4308663,279.692
,"2000","2000","45 years","45","Female","F",4735,2190345,216.176
,"2000","2000","45 years","45","Male","M",8170,2151115,379.803
"Total","2000","2000","45 years","45",,,12905,4341460,297.250
,"2000","2000","46 years","46","Female","F",4811,2077993,231.521
,"2000","2000","46 years","46","Male","M",8579,2009570,426.907
"Total","2000","2000","46 years","46",,,13390,4087563,327.579
,"2000","2000","47 years","47","Female","F",5148,2043564,251.913
,"2000","2000","47 years","47","Male","M",9016,1976128,456.246
"Total","2000","2000","47 years","47",,,14164,4019692,352.365
,"2000","2000","48 years","48","Female","F",5356,1975473,271.125
,"2000","2000","48 years","48","Male","M",9531,1909672,499.091
"Total","2000","2000","48 years","48",,,14887,3885145,383.177
,"2000","2000","49 years","49","Female","F",5661,1915523,295.533
,"2000","2000","49 years","49","Male","M",9825,1843021,533.092
"Total","2000","2000","49 years","49",,,15486,3758544,412.021
,"2000","2000","50 years","50","Female","F",6100,1936877,314.940
,"2000","2000","50 years","50","Male","M",10256,1871638,547.969
"Total","2000","2000","50 years","50",,,16356,3808515,429.459
,"2000","2000","51 years","51","Female","F",6378,1847534,345.217
