Notes,Year,Year Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2015,2015,37 years,37,Female,F,2206,2017940,109.319
,2015,2015,37 years,37,Male,M,4015,2010463,199.705
Total,2015,2015,37 years,37,,,6221,4028403,154.428
,2015,2015,38 years,38,Female,F,2387,2003325,119.152
,2015,2015,38 years,38,Male,M,4058,1983816,204.555
Total,2015,2015,38 years,38,,,6445,3987141,161.645
,2015,2015,39 years,39,Female,F,2327,1944284,119.684
,2015,2015,39 years,39,Male,M,4142,1926578,214.993
Total,2015,2015,39 years,39,,,6469,3870862,167.12
,2015,2015,40 years,40,Female,F,2602,2000626,130.059
,2015,2015,40 years,40,Male,M,4282,1989213,215.261
Total,2015,2015,40 years,40,,,6884,3989839,172.538
,2015,2015,41 years,41,Female,F,2833,1946164,145.568
,2015,2015,41 years,41,Male,M,4547,1919064,236.938
Total,2015,2015,41 years,41,,,7380,3865228,190.933
,2015,2015,42 years,42,Female,F,3182,1981947,160.549
,2015,2015,42 years,42,Male,M,4933,1942311,253.976
Total,2015,2015,42 years,42,,,8115,3924258,206.791
,2015,2015,43 years,43,Female,F,3488,2068346,168.637
,2015,2015,43 years,43,Male,M,5401,2032362,265.75
Total,2015,2015,43 years,43,,,8889,4100708,216.767
,2015,2015,44 years,44,Female,F,4086,2187962,186.749
,2015,2015,44 years,44,Male,M,6317,2147203,294.197
Total,2015,2015,44 years,44,,,10403,4335165,239.968
,2015,2015,45 years,45,Female,F,4386,2206861,198.744
,2015,2015,45 years,45,Male,M,6635,2182484,304.011
Total,2015,2015,45 years,45,,,11021,4389345,251.085
,2015,2015,46 years,46,Female,F,4655,2095675,222.124
,2015,2015,46 years,46,Male,M,7135,2064898,345.538
Total,2015,2015,46 years,46,,,11790,4160573,283.374
,2015,2015,47 years,47,Female,F,4891,2054083,238.111
,2015,2015,47 years,47,Male,M,7407,2019602,366.755
Total,2015,2015,47 years,47,,,12298,4073685,301.889
,2015,2015,48 years,48,Female,F,5534,2062616,268.3
,2015,2015,48 years,48,Male,M,8202,2015073,407.032
Total,2015,2015,48 years,48,,,13736,4077689,336.857
,2015,2015,49 years,49,Female,F,6104,2099680,290.711
,2015,2015,49 years,49,Male,M,9428,2052872,459.259
Total,2015,2015,49 years,49,,,15532,4152552,374.035
,2015,2015,50 years,50,Female,F,7051,2227286,316.574
,2015,2015,50 years,50,Male,M,10767,2173002,495.49
Total,2015,2015,50 years,50,,,17818,4400288,404.928
,2015,2015,51 years,51,Female,F,7852,2276939,344.849
,2015,2015,51 years,51,Male,M,12164,2202725,552.225
Total,2015,2015,51 years,51,,,20016,4479664,446.819
,2015,2015,52 years,52,Female,F,8731,2279256,383.064
,2015,2015,52 years,52,Male,M,13209,2195088,601.753
Total,2015,2015,52 years,52,,,21940,4474344,490.351
,2015,2015,53 years,53,Female,F,9482,2277046,416.417
,2015,2015,53 years,53,Male,M,14524,2186448,664.274
Total,2015,2015,53 years,53,,,24006,4463494,537.83
,2015,2015,54 years,54,Female,F,10261,2309943,444.21
,2015,2015,54 years,54,Male,M,16076,2206584,728.547
Total,2015,2015,54 years,54,,,26337,4516527,583.125
,2015,2015,55 years,55,Female,F,10922,2324887,469.786
,2015,2015,55 years,55,Male,M,17123,2228498,768.365
Total,2015,2015,55 years,55,,,28045,4553385,615.915
,2015,2015,56 years,56,Female,F,11834,2255835,524.595
,2015,2015,56 years,56,Male,M,18224,2143285,850.284
Total,2015,2015,56 years,56,,,30058,4399120,683.273
,2015,2015,57 years,57,Female,F,12584,2246694,560.112
,2015,2015,57 years,57,Male,M,19693,2124551,926.925
Total,2015,2015,57 years,57,,,32277,4371245,738.394
,2015,2015,58 years,58,Female,F,13361,2228294,599.607
,2015,2015,58 years,58,Male,M,20611,2092228,985.122
Total,2015,2015,58 years,58,,,33972,4320522,786.294
,2015,2015,59 years,59,Female,F,13716,2154665,636.572
,2015,2015,59 years,59,Male,M,21521,2009005,1071.227
Total,2015,2015,59 years,59,,,35237,4163670,846.297
,2015,2015,60 years,60,Female,F,14201,2138784,663.975
,2015,2015,60 years,60,Male,M,22515,1987008,1133.111
Total,2015,2015,60 years,60,,,36716,4125792,889.914
,2015,2015,61 years,61,Female,F,14911,2060944,723.503
,2015,2015,61 years,61,Male,M,23323,1893657,1231.638
Total,2015,2015,61 years,61,,,38234,3954601,966.823
,2015,2015,62 years,62,Female,F,15645,1986021,787.756
,2015,2015,62 years,62,Male,M,24065,1815914,1325.228
Total,2015,2015,62 years,62,,,39710,3801935,1044.468
,2015,2015,63 years,63,Female,F,16212,1909879,848.85
,2015,2015,63 years,63,Male,M,25306,1741514,1453.103
Total,2015,2015,63 years,63,,,41518,3651393,1137.046
,2015,2015,64 years,64,Female,F,16773,1857069,903.197
,2015,2015,64 years,64,Male,M,25245,1679087,1503.496
Total,2015,2015,64 years,64,,,42018,3536156,1188.239
,2015,2015,65 years,65,Female,F,17507,1812107,966.113
,2015,2015,65 years,65,Male,M,25976,1637936,1585.898
Total,2015,2015,65 years,65,,,43483,3450043,1260.361
,2015,2015,66 years,66,Female,F,18684,1760795,1061.112
,2015,2015,66 years,66,Male,M,26986,1583339,1704.373
Total,2015,2015,66 years,66,,,45670,3344134,1365.675
,2015,2015,67 years,67,Female,F,20246,1741227,1162.743
,2015,2015,67 years,67,Male,M,28284,1562960,1809.643
Total,2015,2015,67 years,67,,,48530,3304187,1468.743
,2015,2015,68 years,68,Female,F,22174,1812428,1223.442
,2015,2015,68 years,68,Male,M,30528,1623929,1879.885
Total,2015,2015,68 years,68,,,52702,3436357,1533.659
,2015,2015,69 years,69,Female,F,19241,1344721,1430.854
,2015,2015,69 years,69,Male,M,25856,1188026,2176.383
Total,2015,2015,69 years,69,,,45097,2532747,1780.557
,2015,2015,70 years,70,Female,F,20339,1329818,1529.457
,2015,2015,70 years,70,Male,M,26504,1162672,2279.577
Total,2015,2015,70 years,70,,,46843,2492490,1879.366
,2015,2015,71 years,71,Female,F,22047,1298089,1698.42
,2015,2015,71 years,71,Male,M,28756,1123102,2560.409
Total,2015,2015,71 years,71,,,50803,2421191,2098.265
,2015,2015,72 years,72,Female,F,24821,1328954,1867.709
,2015,2015,72 years,72,Male,M,30898,1140651,2708.804
Total,2015,2015,72 years,72,,,55719,2469605,2256.191
,2015,2015,73 years,73,Female,F,23855,1162411,2052.2
,2015,2015,73 years,73,Male,M,29580,983641,3007.195
Total,2015,2015,73 years,73,,,53435,2146052,2489.921
,2015,2015,74 years,74,Female,F,23755,1067619,2225.045
,2015,2015,74 years,74,Male,M,28979,886092,3270.428
Total,2015,2015,74 years,74,,,52734,1953711,2699.171
,2015,2015,75 years,75,Female,F,24903,1010164,2465.243
,2015,2015,75 years,75,Male,M,29511,829659,3557.004
Total,2015,2015,75 years,75,,,54414,1839823,2957.567
,2015,2015,76 years,76,Female,F,25854,947283,2729.279
,2015,2015,76 years,76,Male,M,30203,774758,3898.379
Total,2015,2015,76 years,76,,,56057,1722041,3255.265
,2015,2015,77 years,77,Female,F,27548,910536,3025.471
,2015,2015,77 years,77,Male,M,31079,728549,4265.876
Total,2015,2015,77 years,77,,,58627,1639085,3576.813
,2015,2015,78 years,78,Female,F,28172,840960,3349.981
,2015,2015,78 years,78,Male,M,31046,659853,4704.987
Total,2015,2015,78 years,78,,,59218,1500813,3945.728
,2015,2015,79 years,79,Female,F,30209,803984,3757.413
,2015,2015,79 years,79,Male,M,31880,618087,5157.85
Total,2015,2015,79 years,79,,,62089,1422071,4366.097
,2015,2015,80 years,80,Female,F,32182,772956,4163.497
,2015,2015,80 years,80,Male,M,33120,578240,5727.726
Total,2015,2015,80 years,80,,,65302,1351196,4832.904
,2015,2015,81 years,81,Female,F,32253,693056,4653.736
,2015,2015,81 years,81,Male,M,32996,507988,6495.429
Total,2015,2015,81 years,81,,,65249,1201044,5432.69
,2015,2015,82 years,82,Female,F,35303,671319,5258.752
,2015,2015,82 years,82,Male,M,33750,477629,7066.154
Total,2015,2015,82 years,82,,,69053,1148948,6010.107
,2015,2015,83 years,83,Female,F,37496,640387,5855.209
,2015,2015,83 years,83,Male,M,34644,442175,7834.907
Total,2015,2015,83 years,83,,,72140,1082562,6663.822
,2015,2015,84 years,84,Female,F,39800,608958,6535.755
,2015,2015,84 years,84,Male,M,35617,406633,8759.004
Total,2015,2015,84 years,84,,,75417,1015591,7425.922
,2015,2015,85 years,85,Female,F,42054,Not Applicable,Not Applicable
,2015,2015,85 years,85,Male,M,35498,Not Applicable,Not Applicable
Total,2015,2015,85 years,85,,,77552,Not Applicable,Not Applicable
,2015,2015,86 years,86,Female,F,43027,Not Applicable,Not Applicable
,2015,2015,86 years,86,Male,M,34676,Not Applicable,Not Applicable
Total,2015,2015,86 years,86,,,77703,Not Applicable,Not Applicable
,2015,2015,87 years,87,Female,F,45252,Not Applicable,Not Applicable
,2015,2015,87 years,87,Male,M,34900,Not Applicable,Not Applicable
Total,2015,2015,87 years,87,,,80152,Not Applicable,Not Applicable
,2015,2015,88 years,88,Female,F,45915,Not Applicable,Not Applicable
,2015,2015,88 years,88,Male,M,33152,Not Applicable,Not Applicable
Total,2015,2015,88 years,88,,,79067,Not Applicable,Not Applicable
,2015,2015,89 years,89,Female,F,45567,Not Applicable,Not Applicable
,2015,2015,89 years,89,Male,M,30706,Not Applicable,Not Applicable
Total,2015,2015,89 years,89,,,76273,Not Applicable,Not Applicable
,2015,2015,90 years,90,Female,F,45974,Not Applicable,Not Applicable
,2015,2015,90 years,90,Male,M,28690,Not Applicable,Not Applicable
Total,2015,2015,90 years,90,,,74664,Not Applicable,Not Applicable
,2015,2015,91 years,91,Female,F,43774,Not Applicable,Not Applicable
,2015,2015,91 years,91,Male,M,25871,Not Applicable,Not Applicable
Total,2015,2015,91 years,91,,,69645,Not Applicable,Not Applicable
,2015,2015,92 years,92,Female,F,40511,Not Applicable,Not Applicable
,2015,2015,92 years,92,Male,M,22541,Not Applicable,Not Applicable
Total,2015,2015,92 years,92,,,63052,Not Applicable,Not Applicable
,2015,2015,93 years,93,Female,F,37836,Not Applicable,Not Applicable
,2015,2015,93 years,93,Male,M,19604,Not Applicable,Not Applicable
Total,2015,2015,93 years,93,,,57440,Not Applicable,Not Applicable
,2015,2015,94 years,94,Female,F,33025,Not Applicable,Not Applicable
,2015,2015,94 years,94,Male,M,15970,Not Applicable,Not Applicable
Total,2015,2015,94 years,94,,,48995,Not Applicable,Not Applicable
,2015,2015,95 years,95,Female,F,28012,Not Applicable,Not Applicable
,2015,2015,95 years,95,Male,M,12316,Not Applicable,Not Applicable
Total,2015,2015,95 years,95,,,40328,Not Applicable,Not Applicable
,2015,2015,96 years,96,Female,F,21971,Not Applicable,Not Applicable
,2015,2015,96 years,96,Male,M,8722,Not Applicable,Not Applicable
Total,2015,2015,96 years,96,,,30693,Not Applicable,Not Applicable
,2015,2015,97 years,97,Female,F,18143,Not Applicable,Not Applicable
,2015,2015,97 years,97,Male,M,6574,Not Applicable,Not Applicable
Total,2015,2015,97 years,97,,,24717,Not Applicable,Not Applicable
,2015,2015,98 years,98,Female,F,14032,Not Applicable,Not Applicable
,2015,2015,98 years,98,Male,M,4474,Not Applicable,Not Applicable
Total,2015,2015,98 years,98,,,18506,Not Applicable,Not Applicable
,2015,2015,99 years,99,Female,F,10313,Not Applicable,Not Applicable
,2015,2015,99 years,99,Male,M,3071,Not Applicable,Not Applicable
Total,2015,2015,99 years,99,,,13384,Not Applicable,Not Applicable
,2015,2015,100+ years,100,Female,F,22591,Not Applicable,Not Applicable
,2015,2015,100+ years,100,Male,M,4939,Not Applicable,Not Applicable
Total,2015,2015,100+ years,100,,,27530,Not Applicable,Not Applicable
,2015,2015,Not Stated,NS,Female,F,43,Not Applicable,Not Applicable
,2015,2015,Not Stated,NS,Male,M,95,Not Applicable,Not Applicable
Total,2015,2015,Not Stated,NS,,,138,Not Applicable,Not Applicable
Total,2015,2015,,,,,2712630,321418820,843.955
,2016,2016,< 1 year,0,Female,F,10294,1939667,530.71
,2016,2016,< 1 year,0,Male,M,12867,2030478,633.693
Total,2016,2016,< 1 year,0,,,23161,3970145,583.379
,2016,2016,1 year,1,Female,F,694,1953850,35.52
,2016,2016,1 year,1,Male,M,874,2041158,42.819
Total,2016,2016,1 year,1,,,1568,3995008,39.249
,2016,2016,2 years,2,Female,F,474,1949132,24.319
,2016,2016,2 years,2,Male,M,572,2043022,27.998
Total,2016,2016,2 years,2,,,1046,3992154,26.201
,2016,2016,3 years,3,Female,F,323,1947408,16.586
,2016,2016,3 years,3,Male,M,468,2034666,23.001
Total,2016,2016,3 years,3,,,791,3982074,19.864
,2016,2016,4 years,4,Female,F,298,1950127,15.281
,2016,2016,4 years,4,Male,M,342,2037529,16.785
Total,2016,2016,4 years,4,,,640,3987656,16.05
,2016,2016,5 years,5,Female,F,256,1970381,12.992
,2016,2016,5 years,5,Male,M,290,2062134,14.063
Total,2016,2016,5 years,5,,,546,4032515,13.54
,2016,2016,6 years,6,Female,F,206,1973241,10.44
,2016,2016,6 years,6,Male,M,282,2056414,13.713
Total,2016,2016,6 years,6,,,488,4029655,12.11
,2016,2016,7 years,7,Female,F,240,1974326,12.156
,2016,2016,7 years,7,Male,M,271,2055665,13.183
Total,2016,2016,7 years,7,,,511,4029991,12.68
,2016,2016,8 years,8,Female,F,194,2037098,9.523
,2016,2016,8 years,8,Male,M,289,2122016,13.619
Total,2016,2016,8 years,8,,,483,4159114,11.613
,2016,2016,9 years,9,Female,F,217,2044830,10.612
,2016,2016,9 years,9,Male,M,245,2133694,11.482
Total,2016,2016,9 years,9,,,462,4178524,11.057
,2016,2016,10 years,10,Female,F,189,2027418,9.322
,2016,2016,10 years,10,Male,M,276,2116601,13.04
Total,2016,2016,10 years,10,,,465,4144019,11.221
,2016,2016,11 years,11,Female,F,227,2022731,11.222
,2016,2016,11 years,11,Male,M,279,2108491,13.232
Total,2016,2016,11 years,11,,,506,4131222,12.248
,2016,2016,12 years,12,Female,F,221,2028493,10.895
,2016,2016,12 years,12,Male,M,313,2111065,14.827
Total,2016,2016,12 years,12,,,534,4139558,12.9
,2016,2016,13 years,13,Female,F,258,2014600,12.807
,2016,2016,13 years,13,Male,M,387,2095103,18.472
Total,2016,2016,13 years,13,,,645,4109703,15.695
,2016,2016,14 years,14,Female,F,354,2006259,17.645
,2016,2016,14 years,14,Male,M,509,2087472,24.384
Total,2016,2016,14 years,14,,,863,4093731,21.081
,2016,2016,15 years,15,Female,F,399,2054841,19.418
,2016,2016,15 years,15,Male,M,771,2142150,35.992
Total,2016,2016,15 years,15,,,1170,4196991,27.877
,2016,2016,16 years,16,Female,F,507,2084083,24.327
,2016,2016,16 years,16,Male,M,1073,2181141,49.194
Total,2016,2016,16 years,16,,,1580,4265224,37.044
,2016,2016,17 years,17,Female,F,613,2054585,29.836
,2016,2016,17 years,17,Male,M,1442,2150416,67.057
Total,2016,2016,17 years,17,,,2055,4205001,48.87
,2016,2016,18 years,18,Female,F,776,2060801,37.655
,2016,2016,18 years,18,Male,M,2040,2158502,94.51
Total,2016,2016,18 years,18,,,2816,4219303,66.741
,2016,2016,19 years,19,Female,F,804,2073843,38.769
,2016,2016,19 years,19,Male,M,2387,2169637,110.018
Total,2016,2016,19 years,19,,,3191,4243480,75.198
,2016,2016,20 years,20,Female,F,901,2088855,43.134
,2016,2016,20 years,20,Male,M,2602,2197366,118.415
Total,2016,2016,20 years,20,,,3503,4286221,81.727
,2016,2016,21 years,21,Female,F,1032,2133830,48.364
,2016,2016,21 years,21,Male,M,3150,2253024,139.812
Total,2016,2016,21 years,21,,,4182,4386854,95.33
,2016,2016,22 years,22,Female,F,1107,2178862,50.806
,2016,2016,22 years,22,Male,M,3275,2302042,142.265
Total,2016,2016,22 years,22,,,4382,4480904,97.793
,2016,2016,23 years,23,Female,F,1198,2210629,54.193
,2016,2016,23 years,23,Male,M,3524,2342323,150.449
Total,2016,2016,23 years,23,,,4722,4552952,103.713
,2016,2016,24 years,24,Female,F,1225,2277787,53.78
,2016,2016,24 years,24,Male,M,3749,2396310,156.449
Total,2016,2016,24 years,24,,,4974,4674097,106.416
,2016,2016,25 years,25,Female,F,1379,2332540,59.12
,2016,2016,25 years,25,Male,M,3924,2425812,161.76
Total,2016,2016,25 years,25,,,5303,4758352,111.446
,2016,2016,26 years,26,Female,F,1476,2333494,63.253
,2016,2016,26 years,26,Male,M,3798,2413760,157.348
Total,2016,2016,26 years,26,,,5274,4747254,111.096
,2016,2016,27 years,27,Female,F,1536,2243248,68.472
,2016,2016,27 years,27,Male,M,3927,2315958,169.563
Total,2016,2016,27 years,27,,,5463,4559206,119.823
,2016,2016,28 years,28,Female,F,1564,2193389,71.305
,2016,2016,28 years,28,Male,M,4030,2258118,178.467
Total,2016,2016,28 years,28,,,5594,4451507,125.665
,2016,2016,29 years,29,Female,F,1587,2156739,73.583
,2016,2016,29 years,29,Male,M,3832,2217826,172.782
Total,2016,2016,29 years,29,,,5419,4374565,123.875
,2016,2016,30 years,30,Female,F,1725,2167435,79.587
,2016,2016,30 years,30,Male,M,3960,2224720,178
Total,2016,2016,30 years,30,,,5685,4392155,129.435
,2016,2016,31 years,31,Female,F,1907,2190224,87.069
,2016,2016,31 years,31,Male,M,4011,2233583,179.577
Total,2016,2016,31 years,31,,,5918,4423807,133.776
,2016,2016,32 years,32,Female,F,1977,2128886,92.865
,2016,2016,32 years,32,Male,M,4147,2154190,192.509
Total,2016,2016,32 years,32,,,6124,4283076,142.981
,2016,2016,33 years,33,Female,F,2022,2164564,93.414
,2016,2016,33 years,33,Male,M,4219,2181222,193.424
Total,2016,2016,33 years,33,,,6241,4345786,143.61
,2016,2016,34 years,34,Female,F,2186,2166986,100.877
,2016,2016,34 years,34,Male,M,4409,2174549,202.755
Total,2016,2016,34 years,34,,,6595,4341535,151.905
,2016,2016,35 years,35,Female,F,2318,2146149,108.007
,2016,2016,35 years,35,Male,M,4468,2146976,208.107
Total,2016,2016,35 years,35,,,6786,4293125,158.067
,2016,2016,36 years,36,Female,F,2461,2179618,112.91
,2016,2016,36 years,36,Male,M,4564,2195944,207.838
Total,2016,2016,36 years,36,,,7025,4375562,160.551
,2016,2016,37 years,37,Female,F,2441,2054543,118.81
,2016,2016,37 years,37,Male,M,4560,2048955,222.552
Total,2016,2016,37 years,37,,,7001,4103498,170.611
,2016,2016,38 years,38,Female,F,2606,2016225,129.251
,2016,2016,38 years,38,Male,M,4567,2005894,227.679
Total,2016,2016,38 years,38,,,7173,4022119,178.339
,2016,2016,39 years,39,Female,F,2642,2000928,132.039
,2016,2016,39 years,39,Male,M,4650,1978673,235.006
Total,2016,2016,39 years,39,,,7292,3979601,183.234
,2016,2016,40 years,40,Female,F,2739,1941028,141.111
,2016,2016,40 years,40,Male,M,4597,1921122,239.287
Total,2016,2016,40 years,40,,,7336,3862150,189.946
,2016,2016,41 years,41,Female,F,2863,1996568,143.396
,2016,2016,41 years,41,Male,M,4927,1983028,248.458
Total,2016,2016,41 years,41,,,7790,3979596,195.749
,2016,2016,42 years,42,Female,F,3134,1941928,161.386
,2016,2016,42 years,42,Male,M,4954,1912625,259.016
Total,2016,2016,42 years,42,,,8088,3854553,209.83
,2016,2016,43 years,43,Female,F,3495,1977320,176.754
,2016,2016,43 years,43,Male,M,5708,1934987,294.989
Total,2016,2016,43 years,43,,,9203,3912307,235.232
,2016,2016,44 years,44,Female,F,3878,2063086,187.971
,2016,2016,44 years,44,Male,M,6220,2024559,307.227
Total,2016,2016,44 years,44,,,10098,4087645,247.037
,2016,2016,45 years,45,Female,F,4549,2181652,208.512
,2016,2016,45 years,45,Male,M,6937,2137964,324.468
Total,2016,2016,45 years,45,,,11486,4319616,265.903
,2016,2016,46 years,46,Female,F,4860,2199725,220.937
,2016,2016,46 years,46,Male,M,7499,2172236,345.22
Total,2016,2016,46 years,46,,,12359,4371961,282.688
,2016,2016,47 years,47,Female,F,4931,2088622,236.089
,2016,2016,47 years,47,Male,M,7800,2054342,379.684
Total,2016,2016,47 years,47,,,12731,4142964,307.292
,2016,2016,48 years,48,Female,F,5386,2046863,263.134
,2016,2016,48 years,48,Male,M,8380,2008211,417.287
Total,2016,2016,48 years,48,,,13766,4055074,339.476
,2016,2016,49 years,49,Female,F,6090,2054806,296.378
,2016,2016,49 years,49,Male,M,9153,2003202,456.918
Total,2016,2016,49 years,49,,,15243,4058008,375.628
,2016,2016,50 years,50,Female,F,6721,2091455,321.355
,2016,2016,50 years,50,Male,M,10279,2039838,503.913
Total,2016,2016,50 years,50,,,17000,4131293,411.493
,2016,2016,51 years,51,Female,F,7660,2217966,345.361
,2016,2016,51 years,51,Male,M,11557,2157926,535.561
Total,2016,2016,51 years,51,,,19217,4375892,439.156
,2016,2016,52 years,52,Female,F,8543,2266189,376.977
,2016,2016,52 years,52,Male,M,13268,2186447,606.829
Total,2016,2016,52 years,52,,,21811,4452636,489.845
,2016,2016,53 years,53,Female,F,9477,2267892,417.877
,2016,2016,53 years,53,Male,M,14413,2177713,661.841
Total,2016,2016,53 years,53,,,23890,4445605,537.385
,2016,2016,54 years,54,Female,F,10213,2265370,450.831
,2016,2016,54 years,54,Male,M,15800,2168260,728.695
Total,2016,2016,54 years,54,,,26013,4433630,586.72
,2016,2016,55 years,55,Female,F,11212,2297597,487.988
,2016,2016,55 years,55,Male,M,17335,2186968,792.65
